"","year","author","method","reportScore","methodsScore"
"20",1998,"MacDonald TM","CCO",100,100
"21",1998,"McDevitt DG","CCO",100,100
"52",2001,"Fair E","SCCS",0,100
"54",2001,"Farrington CP","SCCS",0,100
"90",2002,"Maxwell C","CCO",100,100
"97",2003,"Werler MM","CCO+CTC",100,100
"106",2003,"Yi Sung Gon","CCO",100,100
"107",2003,"Andrews N","SCCS",0,100
"141",2004,"Linder T","SCCS",0,100
"173",2005,"Canh Gia D","SCCS",50,100
"202",2005,"Tata LJ","SCCS",0,50
"203",2005,"Thiem DV","SCCS",50,100
"217",2006,"Chaisson CE","CCO",100,50
"222",2006,"Gislason GH","CCO",100,100
"233",2006,"McClure D","CCO",100,100
"238",2006,"Rasmussen JN","CCO",100,100
"242",2006,"Shinefield HR","CCO",100,100
"254",2006,"Finlayson AR","SCCS",0,100
"265",2006,"Stowe J","SCCS",0,100
"284",2007,"Koren G","CCO",100,100
"307",2007,"Ohrling A","SCCS",0,100
"309",2007,"Stowe J","SCCS",0,100
"312",2007,"Taylor B","SCCS",0,100
"313",2007,"Taylor B","SCCS",0,100
"314",2007,"Taylor B","SCCS",0,100
"315",2007,"Verity CM","SCCS",0,100
"316",2007,"Waight P","SCCS",0,100
"317",2007,"Ward KN","SCCS",0,100
"338",2008,"Han X","CCO",100,100
"352",2008,"Metzler C","CCO",100,50
"370",2008,"MacAllister R","SCCS",0,50
"371",2008,"Miller E","SCCS",0,100
"538",2010,"Wang Jung-Der","CCO",100,100
"585",2011,"Choi Nam-Kyong","CCO",100,50
"622",2011,"Mamdani M","CCO",100,100
"656",2011,"Bryan P","SCCS",0,100
"669",2011,"Daley MF","SCCS",0,100
"676",2011,"DeStefano F","SCCS",0,100
"683",2011,"Esparza-Aguilar M","SCCS",0,100
"708",2011,"Hubbard R","SCCS",50,50
"710",2011,"Keelan J","SCCS",0,100
"718",2011,"Lopez-Callada VR","SCCS",0,100
"721",2011,"Manuel DG","SCCS",0,100
"726",2011,"Massari M","SCCS",50,100
"732",2011,"Miller E","SCCS",0,100
"735",2011,"Mullooly JP","SCCS",0,100
"744",2011,"Potter BK","SCCS",0,100
"745",2011,"Potter BK","SCCS",0,100
"746",2011,"Raschetti R","SCCS",50,100
"747",2011,"Renoiner EIM","SCCS",0,100
"748",2011,"Rezk GHP","SCCS",0,100
"767",2011,"Tinajero-Pizano R","SCCS",0,100
"781",2012,"de Jong-van den Berg LTW","CCO+CTC",100,100
"783",2012,"Andersen PK","CTC",0,50
"792",2012,"Blumberg N","CCO",100,100
"794",2012,"Campbell RJ","CCO",100,50
"800",2012,"Choi Nam-Kyong","CCO",100,100
"807",2012,"Durrieu G","CCO",50,50
"811",2012,"Gadegbeku B","CCO",50,50
"812",2012,"Gerds T","CTC",100,50
"831",2012,"Lai Mei-Shu","CCO",100,100
"859",2012,"Pehrson S","CTC",100,50
"860",2012,"Philip P","CCO",50,50
"877",2012,"Zhang Yuqing","CCO",100,50
"893",2012,"Butt DA","SCCS",100,50
"894",2012,"Carter GL","SCCS",100,0
"916",2012,"Ducruet T","SCCS",0,50
"917",2012,"Evans SJ","SCCS",50,50
"919",2012,"Fireman BH","SCCS",100,100
"924",2012,"Glanz JM","SCCS",0,100
"926",2012,"Gomes T","SCCS",100,50
"930",2012,"Hambidge SJ","SCCS",0,100
"948",2012,"Lewis P","SCCS",0,100
"959",2012,"Miller E","SCCS",100,100
"1010",2013,"Chang Chia-Hsuin","CCO",100,50
"1011",2013,"Chang Yoosoo","CCO",100,100
"1023",2013,"Gau Susan Shur-Fen","CCO",100,100
"1026",2013,"Holman CDJ","CTC",100,100
"1030",2013,"Jang Eun Jin","CCO",100,50
"1045",2013,"Lee Na Rae","CCO",100,50
"1046",2013,"Lee Yoojin","CCO",100,100
"1047",2013,"Liu Chia-Lin","CCO",100,50
"1054",2013,"Orriols L","CCO",50,50
"1087",2013,"Black SB","SCCS",0,100
"1104",2013,"Deceuninck G","SCCS",0,100
"1109",2013,"Ducharme R","SCCS",100,100
"1110",2013,"Etminan M","SCCS",0,100
"1111",2013,"Evans SJ","SCCS",0,50
"1123",2013,"Hartman K","SCCS",100,100
"1136",2013,"Jacobsen SJ","SCCS",100,100
"1141",2013,"Lee KJ","SCCS",0,100
"1184",2013,"van der Maas N","SCCS",0,100
